Dimension,Dimension Code,Scenario-Based Statement,Pahayag sa Filipino,Vital System,Item Polarity,Raw Response (1-5),Scoring Rule,Final Score,Scoring Note
14. Contractor Safety Alignment,CSA01,"Contractors receive safety induction, training and competence preparation appropriate to the risks of their work.","Ang mga contractor ay binibigyan ng safety induction, training, at paghahanda sa kakayahan na naaangkop sa mga panganib ng kanilang trabaho.",3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
14. Contractor Safety Alignment,CSA02,You feel contractors follow the same safety standards as direct-hire employees.,Ang mga contractor ay sumusunod sa parehong standard sa kaligtasan tulad ng mga empleyado.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
14. Contractor Safety Alignment,CSA03,There is good coordination and relationship on safety between staff and contractors.,Maganda ang koordinasyon ng mga contractor at empleyado tungkol sa kaligtasan.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
14. Contractor Safety Alignment,CSA04,Contractor violations are addressed transparently. ,Ang mga paglabag ng contractor ay malinaw na tinutugunan.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
14. Contractor Safety Alignment,CSA05,Contractors can raise concerns or stop unsafe work without fear of negative consequences from either their employer or the client.,Ang mga contractor ay maaaring magpahayag ng safety concern o huminto sa hindi ligtas na trabaho nang walang takot sa negatibong epekto mula sa kanilang employer o sa kliyente.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
2. Employee Involvement,EI01,You're always invited to join a safety committee or working group.  ,Palagi kang iniimbitahan na sumali sa safety committee o working group.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
2. Employee Involvement,EI02,You make a suggestion to improve a safety process.  And this is implemented or considered. ,Nagbigay ka ng suhestiyon para mapabuti ang isang safety process at ito ay isinasaalang-alang o ipinatutupad.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
2. Employee Involvement,EI03,You are asked to help design safety procedures for your tasks.,Hinihiling sa iyo na tumulong sa pagdisenyo ng mga safety procedure para sa iyong gawain.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
2. Employee Involvement,EI04,Employees who perform the work are involved when controls or work methods affecting their tasks are developed or changed.,Ang mga empleyadong aktwal na gumagawa ng trabaho ay isinasali kapag binubuo o binabago ang mga safety control o paraan ng trabaho na nakaaapekto sa kanilang gawain.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
2. Employee Involvement,EI05,You feel encouraged to contribute ideas during safety toolbox talks.  ,Hinihikayat kang magbahagi ng mga ideya sa mga safety toolbox talk.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
5. Incident Reporting,IR01,You witness an unsafe act and you are comfortable to report it. ,Kumportable kang mag-report ng kahit minor na unsafe act.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
5. Incident Reporting,IR02,"When I report a hazard or safety concern, I receive feedback on what action was taken or why no action was required.","Kapag nag-uulat ako ng hazard o safety concern, nakakatanggap ako ng feedback tungkol sa ginawang aksyon o paliwanag kung bakit walang kinakailangang aksyon.",4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
5. Incident Reporting,IR03,Reports are used to improve processes rather than blame individuals.  ,Ginagamit ang mga ulat ng insidente para mapabuti ang mga proseso at hindi para manisi.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
5. Incident Reporting,IR04,"After a reported incident, findings are shared transparently with staff.  ",Ang mga resulta ng incident investigation ay bukas na ibinabahagi sa mga empleyado.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
5. Incident Reporting,IR05,You see your colleagues reporting near misses.  ,Nakikita mong regular na nagre-report ng near misses ang iyong mga kasamahan.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
1. Management Commitment,MC01,You notice a safety hazard and report it. Management thanks you and follows up promptly.,Napansin mo ang isang panganib sa kaligtasan at iniulat ito. Nagpasalamat ang pamunuan at agad na nag-follow-up.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
1. Management Commitment,MC02,"During a recent company-wide meeting, safety performance was not discussed at all.  ","Sa isang kamakailang pagpupulong ng buong kumpanya, hindi man lang natalakay ang performance sa kaligtasan.",1. Leadership Vital,Negative / Reverse-scored,,Final = 6 ? Raw,,Higher agreement indicates a weaker safety-culture condition; reverse score before analysis.
1. Management Commitment,MC03,You've observed your department head personally conducting safety inspections.  ,Nakita mong personal na nagsagawa ng safety inspection ang inyong pinuno ng departamento.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
1. Management Commitment,MC04,"In times of tight deadlines, management insists on skipping safety briefings.  ","Kapag may mahigpit na deadline, pinipilit ng pamunuan na laktawan ang mga safety briefing.",1. Leadership Vital,Negative / Reverse-scored,,Final = 6 ? Raw,,Higher agreement indicates a weaker safety-culture condition; reverse score before analysis.
1. Management Commitment,MC05,You receive communications from leadership reinforcing safety culture. ,Nakakatanggap ka ng mga mensahe mula sa pamunuan na nagpapalakas sa kultura ng kaligtasan.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
7. Organizational Learning,OL01,"After an incident, corrective actions are implemented and shared.  ","Pagkatapos ng isang insidente, agad na ipinapatupad ang mga corrective actions.",4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
7. Organizational Learning,OL02,Your team conducts reviews after completing a project to improve safety.  ,Ang inyong team ay nagsasagawa ng review pagkatapos ng proyekto para sa kaligtasan.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
7. Organizational Learning,OL03,New procedures are introduced based on past incidents.  ,May mga bagong procedure na ipinapatupad base sa nakaraang mga insidente.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
7. Organizational Learning,OL04,You feel the organization improves over time based on safety feedback.,Nararamdaman mong unti-unting gumaganda ang kaligtasan dahil sa feedback mula sa empleyado.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
7. Organizational Learning,OL05,Safety lessons from other branches or sites are shared with your team.,Ibinabahagi sa inyong team ang mga safety lessons mula sa ibang site o branch.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
10. Psychological Safety,PS01,You feel comfortable admitting a mistake that could affect safety.  ,Kumportable kang aminin ang pagkakamaling maaaring makakaapekto sa kaligtasan.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
10. Psychological Safety,PS02,You can report unsafe behavior without fear of retaliation.  ,Wala kang takot sa pag-ulat ng unsafe behavior.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
10. Psychological Safety,PS03,"Your team discusses failures constructively, and nobody is being blamed.",Ang inyong team ay may bukas at positibong diskusyon kapag may pagkukulang.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
10. Psychological Safety,PS04,You feel heard when you express safety-related concerns.,Pinakikinggan ka kapag may ipinapahayag kang concern sa kaligtasan.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
10. Psychological Safety,PS05,There is mutual respect when discussing safety in your team. ,May respeto sa isa't isa kapag pinag-uusapan ang kaligtasan sa inyong team.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
11. Risk Awareness,RA01,"Before starting a task, your team discusses potential hazards.","Bago simulan ang trabaho, palaging pinag-uusapan ng inyong team ang mga posibleng panganib.",3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
11. Risk Awareness,RA02,"When a new or changing hazard is identified during work, the task is stopped or adjusted until the risk is reassessed.","Kapag may bago o nagbabagong hazard habang ginagawa ang trabaho, itinitigil o inaayos muna ang gawain hanggang sa muling masuri ang panganib.",3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
11. Risk Awareness,RA03,Risk assessments are performed before high-risk activities.,Ginagawa ang risk assessment bago simulan ang mapanganib na gawain.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
11. Risk Awareness,RA04,Employees can stop or step away from work they reasonably believe presents a serious safety risk without fear of unfair consequences.,Maaaring ihinto o lumayo muna ang mga empleyado sa trabahong makatuwirang pinaniniwalaan nilang may malubhang panganib sa kaligtasan nang walang takot sa hindi makatarungang epekto o parusa.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
11. Risk Awareness,RA05,You understand what to do in case of an emergency.  ,Alam mo kung ano ang dapat gawin sa oras ng emergency.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
15. Safety Accountability & Recognition,SAR01,You are recognized for contributing to a safe workplace.,Kinikilala ka kapag may ambag ka sa kaligtasan ng lugar ng trabaho.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
15. Safety Accountability & Recognition,SAR02,Safety is included in performance evaluations.,Kasama ang kaligtasan sa inyong performance evaluation.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
15. Safety Accountability & Recognition,SAR03,Everyone knows their safety responsibilities.,Alam ng lahat ang kanilang responsibilidad sa kaligtasan.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
15. Safety Accountability & Recognition,SAR04,Supervisors hold people accountable for safety performance.,Ang mga supervisor ay nananagot at nagpapatupad ng panuntunan sa kaligtasan.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
15. Safety Accountability & Recognition,SAR05,"The organization recognizes proactive safety contributions such as hazard reporting, learning, improvement and prevention.","Kinikilala ng organisasyon ang mga aktibong kontribusyon sa kaligtasan tulad ng pag-uulat ng hazard, pagbabahagi ng natutunan, pagpapabuti, at pag-iwas sa insidente.",1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
3. Safety Communication,SC01,"When there is an occurrence of a near-miss, you receive a detailed incident summary and lessons learned.  ",Nakakatanggap ka ng detalyadong ulat ng near-miss incident at mga natutunan mula rito.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
12. Safety Climate,SCL01,People in your team remind each other to follow safety rules.  ,Ang mga kasamahan mo ay nagpapaalala sa isa't isa na sumunod sa mga safety rule.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
3. Safety Communication,SC02,You ask your supervisor a safety-related question and you are provided with clear and timely response.,"Kapag nagtatanong ka sa iyong supervisor tungkol sa kaligtasan, agad kang nabibigyan ng malinaw na tugon.",4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
12. Safety Climate,SCL02,You feel proud to be part of a safety-conscious organization.  ,Ipinagmamalaki mong kabilang ka sa organisasyong may mataas na pagpapahalaga sa kaligtasan.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
3. Safety Communication,SC03,Important safety updates are posted in your workplace or platform.,Ang mga mahalagang update tungkol sa kaligtasan ay ipinapaskil sa inyong lugar ng trabaho.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
12. Safety Climate,SCL03,"Safety is treated as a genuine priority in everyday decisions, not only in formal messages.","Ang kaligtasan ay tunay na prayoridad sa mga pang-araw-araw na desisyon, at hindi lamang sa mga pormal na mensahe o komunikasyon.",2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
3. Safety Communication,SC04,Changes in safety procedures are explained clearly and well in advance.  ,Ang mga pagbabago sa safety procedures ay malinaw na ipinapaliwanag bago ito ipatupad.,4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
12. Safety Climate,SCL04,The way people actually work reflects the organization's stated safety values.,Ang aktwal na paraan ng pagtatrabaho ng mga tao ay nagpapakita ng mga safety values na ipinapahayag ng organisasyon.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
3. Safety Communication,SC05,"Safety communication is adapted to the language, literacy and work context of the people receiving it.","Ang komunikasyon tungkol sa kaligtasan ay iniangkop sa wika, antas ng pag-unawa, at konteksto ng trabaho ng mga taong tumatanggap nito.",4. Learning & Improvement Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
12. Safety Climate,SCL05,Employees at all levels model safety-conscious behavior. ,Lahat ng antas ng empleyado ay nagpapakita ng maayos na asal ukol sa kaligtasan.,2. People & Culture Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
8. Safety Resources,SR01,You request replacement PPE and receive it promptly. ,"Kapag humiling ka ng kapalit na PPE, agad itong naibibigay.",5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
8. Safety Resources,SR02,You notice damaged safety equipment remains unrepaired.  ,May mga sirang safety equipment na matagal bago maayos.,5. Capability & Resilience Vital,Negative / Reverse-scored,,Final = 6 ? Raw,,Higher agreement indicates a weaker safety-culture condition; reverse score before analysis.
8. Safety Resources,SR03,Safety signs and labels are clearly visible in your work area.  ,Malinaw ang mga safety sign at label sa inyong lugar ng trabaho.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
8. Safety Resources,SR04,"First-aid kits and emergency tools are checked and stocked, including the availability of an AED.",Regular na sinusuri at pinapalitan ang mga first-aid kit at emergency tools.,5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
8. Safety Resources,SR05,"Staffing, time and operational resources are sufficient to complete work safely without routine shortcuts.","Sapat ang bilang ng tao, oras, at operational resources upang magawa nang ligtas ang trabaho nang hindi palaging kinakailangang gumawa ng shortcut.",5. Capability & Resilience Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
6. Safety Rules & Compliance,SRC01,Safety procedures and critical safety requirements are clear and accessible when needed.,Ang mga safety procedures ay malinaw at madaling ma-access ang mga ito kabilang na ang mga safety requirements.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
6. Safety Rules & Compliance,SRC02,People follow important safety rules even when no supervisor or safety officer is present.,Sinusunod ng mga empleyado ang mahahalagang patakaran sa kaligtasan kahit walang supervisor o safety officer na nakabantay.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
6. Safety Rules & Compliance,SRC03,"When someone deviates from an important safety control, colleagues intervene respectfully.","Kapag may lumilihis o hindi sumusunod sa isang mahalagang safety control, maayos at may paggalang na pinapaalalahanan o sinasaway ito ng mga kasamahan.",3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
6. Safety Rules & Compliance,SRC04,You observe consistent rule enforcement across all departments. ,May karampatang aksyon kapag nilalabag ang mga safety rules.,3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
6. Safety Rules & Compliance,SRC05,"When a safety rule is impractical or difficult to follow, employees can raise the issue and have the rule or work method reviewed rather than simply working around it.","Kapag ang isang safety rule ay mahirap o hindi praktikal sundin, maaaring iparating ng mga empleyado ang kanilang concern upang marepaso ang patakaran o paraan ng trabaho, sa halip na gumawa na lamang ng sariling paraan para malampasan ito.",3. Risk & Operational Control Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
9. Supervisory Safety Support,SSS01,Your supervisor holds safety huddles before the tasks.  ,Ang iyong supervisor ay palaging nagsasagawa ng safety huddles bago ang delikadong trabaho.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
9. Supervisory Safety Support,SSS02,"When you raise a safety concern, your supervisor takes it seriously.","Kapag may safety concern ka, seryosong tinatanggap ito ng iyong supervisor.",1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
9. Supervisory Safety Support,SSS03,Supervisors actively observe and coach safe behavior.  ,Ang mga supervisor ay aktibong nagmamasid at nagtuturo ng tamang pag-uugali sa kaligtasan.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
9. Supervisory Safety Support,SSS04,Your supervisor provides feedback on your safety performance.,Ang iyong supervisor ay nagbibigay ng feedback tungkol sa iyong kaligtasan sa trabaho.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
9. Supervisory Safety Support,SSS05,Supervisors lead by example in following safety rules.  ,Ang mga supervisor ay magandang halimbawa sa pagsunod sa mga patakaran sa kaligtasan.,1. Leadership Vital,Positive / Direct-scored,,Final = Raw,,Higher agreement indicates a stronger safety-culture condition.
